date,product_id,daily_demand,stock_level,reorder_level,supplier_delay
2023-01-01,P1,63,446,44,8
2023-01-01,P2,14,266,42,1
2023-01-01,P3,46,376,89,3
2023-01-01,P4,67,481,88,7
2023-01-01,P5,35,431,90,4
2023-01-01,P6,73,94,74,4
2023-01-01,P7,91,268,86,5
2023-01-01,P8,69,72,21,4
2023-01-01,P9,35,111,59,6
2023-01-01,P10,94,297,38,4
2023-01-01,P11,36,464,65,8
2023-01-01,P12,44,355,94,4
2023-01-01,P13,32,98,36,3
2023-01-01,P14,27,419,44,9
2023-01-01,P15,80,280,64,1
2023-01-01,P16,37,490,68,2
2023-01-01,P17,50,123,47,9
2023-01-01,P18,43,444,22,3
2023-01-01,P19,46,448,39,7
2023-01-01,P20,46,156,29,9
2023-01-01,P21,46,193,44,3
2023-01-01,P22,61,351,26,8
2023-01-01,P23,35,261,76,5
2023-01-01,P24,80,177,41,8
2023-01-01,P25,14,94,31,9
2023-01-01,P26,49,356,39,9
2023-01-01,P27,6,289,56,1
2023-01-01,P28,50,358,34,4
2023-01-01,P29,20,181,97,5
2023-01-01,P30,65,485,50,1
2023-01-01,P31,87,175,64,3
2023-01-01,P32,32,324,75,1
2023-01-01,P33,54,396,23,7
2023-01-01,P34,11,56,43,7
2023-01-01,P35,27,480,63,6
2023-01-01,P36,34,388,43,9
2023-01-01,P37,17,391,41,2
2023-01-01,P38,90,463,37,4
2023-01-01,P39,50,160,71,6
2023-01-01,P40,86,184,91,7
2023-01-01,P41,44,233,90,5
2023-01-01,P42,43,250,55,7
2023-01-01,P43,64,386,71,4
2023-01-01,P44,84,279,73,3
2023-01-01,P45,44,115,38,8
2023-01-01,P46,79,490,51,3
2023-01-01,P47,81,181,76,8
2023-01-01,P48,35,51,61,7
2023-01-01,P49,88,431,75,3
2023-01-01,P50,77,286,44,4
2023-01-02,P1,99,166,76,8
2023-01-02,P2,27,368,53,9
2023-01-02,P3,76,464,55,4
2023-01-02,P4,46,139,84,2
2023-01-02,P5,66,247,28,3
2023-01-02,P6,36,288,34,6
2023-01-02,P7,10,263,26,1
2023-01-02,P8,42,161,34,2
2023-01-02,P9,81,87,54,7
2023-01-02,P10,5,385,28,6
2023-01-02,P11,87,280,27,8
2023-01-02,P12,20,421,43,2
2023-01-02,P13,33,147,99,5
2023-01-02,P14,98,67,60,9
2023-01-02,P15,86,428,74,6
2023-01-02,P16,62,446,95,9
2023-01-02,P17,31,237,52,1
2023-01-02,P18,17,58,59,8
2023-01-02,P19,11,409,49,4
2023-01-02,P20,66,446,84,1
2023-01-02,P21,11,416,33,6
2023-01-02,P22,11,485,92,1
2023-01-02,P23,75,174,60,1
2023-01-02,P24,75,434,76,5
2023-01-02,P25,11,194,44,8
2023-01-02,P26,24,271,20,8
2023-01-02,P27,66,256,76,6
2023-01-02,P28,75,347,80,9
